state	power	likelihood
2510	0.773781	-42.4319
2520	0.773781	-41.7855
2530	0.773781	-41.7682
2540	0.773781	-41.7804
2550	0.773781	-41.8185
2560	0.773781	-42.2185
2570	0.773781	-41.7664
2580	0.773781	-42.2142
2590	0.773781	-42.2184
2600	0.773781	-42.5876
2610	0.773781	-42.9547
2620	0.773781	-41.75
2630	0.773781	-41.7747
2640	0.773781	-41.796
2650	0.773781	-42.2997
2660	0.773781	-41.753
2670	0.773781	-41.7835
2680	0.773781	-41.7598
2690	0.773781	-41.8491
2700	0.773781	-41.7636
2710	0.773781	-41.9095
2720	0.773781	-41.9418
2730	0.773781	-42.2019
2740	0.773781	-42.0359
2750	0.773781	-41.751
2760	0.773781	-42.9541
2770	0.773781	-41.847
2780	0.773781	-41.8051
2790	0.773781	-42.015
2800	0.773781	-41.8891
2810	0.773781	-41.769
2820	0.773781	-41.9778
2830	0.773781	-41.7583
2840	0.773781	-42.0599
2850	0.773781	-41.9936
2860	0.773781	-43.3264
2870	0.773781	-41.7656
2880	0.773781	-41.7604
2890	0.773781	-41.944
2900	0.773781	-41.7763
2910	0.773781	-41.8397
2920	0.773781	-41.7508
2930	0.773781	-41.7625
2940	0.773781	-41.789
2950	0.773781	-41.8869
2960	0.773781	-42.2606
2970	0.773781	-41.791
2980	0.773781	-44.7628
2990	0.773781	-42.4754
3000	0.773781	-42.599
3010	0.773781	-41.911
3020	0.773781	-41.7651
3030	0.773781	-41.7523
3040	0.773781	-41.7646
3050	0.773781	-41.8451
3060	0.773781	-41.7654
3070	0.773781	-42.0325
3080	0.773781	-42.0168
3090	0.773781	-41.8214
3100	0.773781	-44.2972
3110	0.773781	-41.9109
3120	0.773781	-41.7924
3130	0.773781	-41.9738
3140	0.773781	-41.9045
3150	0.773781	-41.8398
3160	0.773781	-41.9612
3170	0.773781	-41.7719
3180	0.773781	-41.7942
3190	0.773781	-41.7923
3200	0.773781	-42.4862
3210	0.773781	-41.7646
3220	0.773781	-42.0811
3230	0.773781	-44.005
3240	0.773781	-41.7616
3250	0.773781	-41.9031
3260	0.773781	-41.9727
3270	0.773781	-41.7875
3280	0.773781	-42.0206
3290	0.773781	-42.2792
3300	0.773781	-41.7604
3310	0.773781	-41.8598
3320	0.773781	-46.0692
3330	0.773781	-44.8524
3340	0.773781	-42.2924
3350	0.773781	-41.7638
3360	0.773781	-44.0704
3370	0.773781	-41.7807
3380	0.773781	-41.8547
3390	0.773781	-41.9091
3400	0.773781	-41.8666
3410	0.773781	-41.8182
3420	0.773781	-41.7807
3430	0.773781	-43.4314
3440	0.773781	-41.8363
3450	0.773781	-41.8431
3460	0.773781	-41.7609
3470	0.773781	-41.9802
3480	0.773781	-42.8106
3490	0.773781	-42.0474
3500	0.773781	-41.7505
3510	0.773781	-42.143
3520	0.773781	-42.2336
3530	0.773781	-41.7685
3540	0.773781	-41.8387
3550	0.773781	-41.7882
3560	0.773781	-41.7818
3570	0.773781	-41.7993
3580	0.773781	-41.7746
3590	0.773781	-41.773
3600	0.773781	-41.9623
3610	0.773781	-41.802
3620	0.773781	-41.8986
3630	0.773781	-42.7102
3640	0.773781	-42.5773
3650	0.773781	-41.9769
3660	0.773781	-42.0697
3670	0.773781	-41.7516
3680	0.773781	-41.9121
3690	0.773781	-42.5672
3700	0.773781	-41.8041
3710	0.773781	-41.8447
3720	0.773781	-41.7848
3730	0.773781	-42.2411
3740	0.773781	-41.749
3750	0.773781	-41.763
3760	0.773781	-41.7623
3770	0.773781	-41.8165
3780	0.773781	-42.3493
3790	0.773781	-41.8501
3800	0.773781	-42.5809
3810	0.773781	-41.9509
3820	0.773781	-41.7759
3830	0.773781	-42.4228
3840	0.773781	-41.9405
3850	0.773781	-41.7859
3860	0.773781	-41.9062
3870	0.773781	-41.8541
3880	0.773781	-42.0448
3890	0.773781	-41.7567
3900	0.773781	-41.7864
3910	0.773781	-41.9767
3920	0.773781	-41.9604
3930	0.773781	-41.7576
3940	0.773781	-42.2163
3950	0.773781	-42.0696
3960	0.773781	-41.7702
3970	0.773781	-42.5106
3980	0.773781	-42.9258
3990	0.773781	-41.7551
4000	0.773781	-42.0396
4010	0.773781	-43.5625
4020	0.773781	-41.7567
4030	0.773781	-42.1325
4040	0.773781	-41.7571
4050	0.773781	-41.9702
4060	0.773781	-41.7757
4070	0.773781	-42.9613
4080	0.773781	-41.7848
4090	0.773781	-41.7685
4100	0.773781	-41.8728
4110	0.773781	-41.9087
4120	0.773781	-41.8496
4130	0.773781	-42.3439
4140	0.773781	-41.7518
4150	0.773781	-41.763
4160	0.773781	-41.7941
4170	0.773781	-41.7745
4180	0.773781	-42.0655
4190	0.773781	-41.8393
4200	0.773781	-43.0033
4210	0.773781	-41.7488
4220	0.773781	-42.0349
4230	0.773781	-41.9624
4240	0.773781	-42.0839
4250	0.773781	-42.0709
4260	0.773781	-41.935
4270	0.773781	-42.4599
4280	0.773781	-42.5836
4290	0.773781	-41.7496
4300	0.773781	-41.7535
4310	0.773781	-41.8026
4320	0.773781	-43.0557
4330	0.773781	-42.0096
4340	0.773781	-41.8473
4350	0.773781	-42.1171
4360	0.773781	-41.8198
4370	0.773781	-41.9946
4380	0.773781	-42.2565
4390	0.773781	-41.7616
4400	0.773781	-41.9158
4410	0.773781	-41.906
4420	0.773781	-42.1985
4430	0.773781	-41.9578
4440	0.773781	-41.7761
4450	0.773781	-41.9236
4460	0.773781	-42.1302
4470	0.773781	-41.8267
4480	0.773781	-41.7614
4490	0.773781	-44.38
4500	0.773781	-42.0478
4510	0.773781	-42.095
4520	0.773781	-42.2432
4530	0.773781	-41.8351
4540	0.773781	-42.0416
4550	0.773781	-41.7995
4560	0.773781	-41.8594
4570	0.773781	-42.0702
4580	0.773781	-41.8473
4590	0.773781	-42.1009
4600	0.773781	-41.7557
4610	0.773781	-41.8888
4620	0.773781	-41.7673
4630	0.773781	-41.7528
4640	0.773781	-41.8276
4650	0.773781	-41.7658
4660	0.773781	-42.4181
4670	0.773781	-41.9983
4680	0.773781	-41.784
4690	0.773781	-42.894
4700	0.773781	-46.1496
4710	0.773781	-42.7666
4720	0.773781	-41.9248
4730	0.773781	-41.7781
4740	0.773781	-41.78
4750	0.773781	-42.0126
4760	0.773781	-41.7559
4770	0.773781	-41.8513
4780	0.773781	-42.0146
4790	0.773781	-42.6764
4800	0.773781	-41.8544
4810	0.773781	-41.7528
4820	0.773781	-41.9026
4830	0.773781	-43.7885
4840	0.773781	-41.7483
4850	0.773781	-41.8961
4860	0.773781	-41.7798
4870	0.773781	-41.7961
4880	0.773781	-42.9634
4890	0.773781	-41.7605
4900	0.773781	-41.7979
4910	0.773781	-41.7954
4920	0.773781	-41.9649
4930	0.773781	-41.7643
4940	0.773781	-41.9807
4950	0.773781	-47.5938
4960	0.773781	-41.7513
4970	0.773781	-44.2084
4980	0.773781	-41.7802
4990	0.773781	-41.8262
5000	0.773781	-41.8632
5010	0.773781	-41.7709
5020	0.773781	-42.1659
5030	0.773781	-44.8224
5040	0.773781	-41.8969
5050	0.773781	-41.8358
5060	0.773781	-41.9701
