state	power	likelihood
2510	0.0992437	-48.8514
2520	0.0992437	-41.797
2530	0.0992437	-41.7615
2540	0.0992437	-43.5917
2550	0.0992437	-41.7479
2560	0.0992437	-43.934
2570	0.0992437	-41.7741
2580	0.0992437	-41.9496
2590	0.0992437	-43.6834
2600	0.0992437	-42.2212
2610	0.0992437	-42.0267
2620	0.0992437	-44.1009
2630	0.0992437	-41.748
2640	0.0992437	-42.8871
2650	0.0992437	-50.0824
2660	0.0992437	-41.75
2670	0.0992437	-44.3224
2680	0.0992437	-45.5496
2690	0.0992437	-45.5905
2700	0.0992437	-41.8073
2710	0.0992437	-41.7708
2720	0.0992437	-43.352
2730	0.0992437	-41.7513
2740	0.0992437	-48.5193
2750	0.0992437	-42.0639
2760	0.0992437	-42.3285
2770	0.0992437	-77.8756
2780	0.0992437	-77.9185
2790	0.0992437	-47.8427
2800	0.0992437	-43.0261
2810	0.0992437	-41.7497
2820	0.0992437	-42.8085
2830	0.0992437	-47.4399
2840	0.0992437	-50.7717
2850	0.0992437	-41.7567
2860	0.0992437	-45.0082
2870	0.0992437	-42.4214
2880	0.0992437	-41.767
2890	0.0992437	-42.2936
2900	0.0992437	-42.1086
2910	0.0992437	-42.0513
2920	0.0992437	-48.4335
2930	0.0992437	-42.8365
2940	0.0992437	-42.9228
2950	0.0992437	-49.1663
2960	0.0992437	-42.346
2970	0.0992437	-41.7601
2980	0.0992437	-41.9644
2990	0.0992437	-42.3865
3000	0.0992437	-43.1549
3010	0.0992437	-47.8951
3020	0.0992437	-47.4742
3030	0.0992437	-41.8394
3040	0.0992437	-41.8738
3050	0.0992437	-52.7737
3060	0.0992437	-48.9126
3070	0.0992437	-43.569
3080	0.0992437	-56.3755
3090	0.0992437	-41.7502
3100	0.0992437	-41.7488
3110	0.0992437	-51.3172
3120	0.0992437	-42.9737
3130	0.0992437	-68.3661
3140	0.0992437	-41.8329
3150	0.0992437	-54.314
3160	0.0992437	-49.8215
3170	0.0992437	-41.9863
3180	0.0992437	-42.1621
3190	0.0992437	-44.1197
3200	0.0992437	-43.268
3210	0.0992437	-47.7643
3220	0.0992437	-44.5288
3230	0.0992437	-74.6172
3240	0.0992437	-48.5432
3250	0.0992437	-68.2916
3260	0.0992437	-49.4481
3270	0.0992437	-53.5396
3280	0.0992437	-45.7765
3290	0.0992437	-42.9149
3300	0.0992437	-52.8088
3310	0.0992437	-44.5394
3320	0.0992437	-41.8025
3330	0.0992437	-55.6321
3340	0.0992437	-45.7877
3350	0.0992437	-41.9223
3360	0.0992437	-46.6648
3370	0.0992437	-45.4152
3380	0.0992437	-54.492
3390	0.0992437	-47.7548
3400	0.0992437	-41.7483
3410	0.0992437	-53.5411
3420	0.0992437	-41.817
3430	0.0992437	-59.4198
3440	0.0992437	-68.2555
3450	0.0992437	-45.898
3460	0.0992437	-73.3532
3470	0.0992437	-74.7781
3480	0.0992437	-48.0409
3490	0.0992437	-41.7575
3500	0.0992437	-42.0528
3510	0.0992437	-56.7842
3520	0.0992437	-49.2598
3530	0.0992437	-42.7931
3540	0.0992437	-49.8021
3550	0.0992437	-49.9737
3560	0.0992437	-41.7487
3570	0.0992437	-49.948
3580	0.0992437	-55.7481
3590	0.0992437	-73.817
3600	0.0992437	-42.0344
3610	0.0992437	-43.2095
3620	0.0992437	-41.8505
3630	0.0992437	-41.9724
3640	0.0992437	-41.7574
3650	0.0992437	-41.7502
3660	0.0992437	-41.98
3670	0.0992437	-41.7935
3680	0.0992437	-42.4388
3690	0.0992437	-42.6297
3700	0.0992437	-85.423
3710	0.0992437	-45.9951
3720	0.0992437	-41.7642
3730	0.0992437	-41.8837
3740	0.0992437	-63.0702
3750	0.0992437	-53.6633
3760	0.0992437	-42.4881
3770	0.0992437	-51.9415
3780	0.0992437	-60.8057
3790	0.0992437	-56.9195
3800	0.0992437	-42.0458
3810	0.0992437	-47.6234
3820	0.0992437	-43.0746
3830	0.0992437	-45.7943
3840	0.0992437	-41.832
3850	0.0992437	-52.0416
3860	0.0992437	-62.1185
3870	0.0992437	-44.9259
3880	0.0992437	-55.0735
3890	0.0992437	-50.6149
3900	0.0992437	-44.709
3910	0.0992437	-48.9069
3920	0.0992437	-43.8462
3930	0.0992437	-43.3196
3940	0.0992437	-42.9031
3950	0.0992437	-43.0286
3960	0.0992437	-62.0862
3970	0.0992437	-42.1044
3980	0.0992437	-63.7494
3990	0.0992437	-46.894
4000	0.0992437	-42.7764
4010	0.0992437	-45.5107
4020	0.0992437	-42.6121
4030	0.0992437	-41.888
4040	0.0992437	-41.8467
4050	0.0992437	-42.6179
4060	0.0992437	-41.8916
4070	0.0992437	-41.8721
4080	0.0992437	-52.9122
4090	0.0992437	-49.928
4100	0.0992437	-41.7919
4110	0.0992437	-41.7654
